lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
zh,玻璃渣里找糖,Looking for candy among broken glass shards.,在玻璃碎渣中寻找糖果,用来表示在一个令人心痛或虐心的情境中试图找到一些甜蜜或欢乐的时刻。这种心态常见于观看或阅读那些情感起伏较大的影视剧或小说时，观众会在整体虐心的情节中寻求甜蜜的小瞬间。,Trying to find sweet or joyful moments within a painful or emotionally intense situation.
zh,社死现场,The scene of social death.,社会性死亡的现场,指的是一个人在公众面前出丑到无地自容、觉得自己“社会性死亡”的情境。这种情况下，感到极度尴尬，以至于想找条地缝钻进去。同“公开处刑”用来描述当众丢脸的情况类似。,A situation where someone is so publicly embarrassed that they feel socially ruined.
zh,凡尔赛,Versailles Palace,凡尔赛宫殿,这个梗指的是在社交媒体上用看似平和的文字、不经意间流露出优越感的一种表达方式，通常通过反向描述、先抑后扬、明贬暗褒等手法进行隐晦的炫耀。,A subtle way of showing off on social media by expressing superiority through seemingly casual or self-deprecating remarks.
zh,六公主,The sixth princess,第六位公主,指的是中央六台CCTV6。这个称号源于CCTV6独特的风格，表现出“任性”的一面。六公主经常大胆选择和更改电影播放内容，有时还会以敏感或尖锐的方式触及社会热点。尽管如此，它很少受到批评，反而有时得到央视的支持，就像被宠爱的小女儿一样。,"Refers to CCTV Channel 6, known for its bold and sometimes provocative film programming choices, often treated like a favored ""young princess"" by the broadcaster."
zh,七夕取消,Qixi Festival canceled,七夕节被取消,在疫情背景下，通过调侃牛郎织女因为没有打疫苗和没有做核酸检测而无法相会，因此“七夕取消”作为一种幽默表达，用以调侃现实中因疫情而遇到的封锁措施和出行限制。,"A humorous expression referencing the cancellation of the Qixi Festival due to pandemic-related restrictions, likening it to the legendary lovers being unable to meet without vaccination or testing."
zh,拿来吧你,Hand it over to me.,把它拿过来吧你,表示看中某物并自信地“想要”或“值得拥有”。,"Expressing desire for something confidently, implying it is worth having."
zh,菜是原罪,Being bad (at something) is the original sin.,菜是原罪,意指在任何竞技赛事或领域中，能力或表现不佳是最根本的错误或不足。在电子竞技中，成绩被视为最重要的，其他因素显得次要。,"In any competitive field, poor skill or performance is considered the fundamental fault above all else."
zh,希望你永远不懂,Hope you never understand.,希望你永远不理解,原本用于希望他人不经历自己经历过的悲伤。然而，这句话在网络上渐渐演变为一种具有矫情和自我感伤色彩的表达，甚至被网友用来调侃，故意在一些明显的常识后面加入这句话，增加戏剧效果。,"Originally used to wish others never experience one's own sadness, it has evolved online into a melodramatic, self-pitying phrase often used humorously after obvious statements for dramatic effect."
zh,肌肉金轮,Muscle and metal-made wheel.,肌肉和金属制成的轮子,形成的搞笑组合。因为大司马的名字中带“金”，所以取名为“肌肉金轮”。,"A humorous combination name derived from the character ""金"" in Dasi Ma's name."
zh,外卷,To expand or roll outward.,向外扩展或卷起,是内卷的对立面。外卷可以理解为开拓新的资源以避免无谓的竞争，也可以指大家共同停止内卷化的过度竞争。,The opposite of involution; expanding new resources to avoid pointless competition or collectively stopping excessive competitive behavior.
zh,工业糖精,Industrial-grade saccharin produced for chemical use.,工业生产的糖精化学品,用来形容内容极其公式化、为了甜而甜的小说和电视剧。这类作品通常遵循固定套路，没有新意，情节套路化、缺乏创意，读者或观众会觉得厌倦。,"A term describing overly formulaic novels or TV shows that are sweet for the sake of sweetness, following fixed patterns without originality, leading to audience fatigue."
zh,卑微文学,Literature depicting humble or lowly lives.,描写卑微生活的文学作品,表现出无论对方如何对待自己，都始终充满感激与幻想的状态。,A state of being perpetually grateful and hopeful regardless of how one is treated by others.
zh,就是玩儿,Just playing or having fun.,就是玩耍,表现出一种不按常理出牌或者反差行为的幽默，通常搭配“我就是玩儿体”的句式，用以制造喜剧效果。这个梗通常用于幽默地表达一种无所谓或随意的心态。,"Humorously displaying unconventional or contrasting behavior to create a comedic effect, often expressing a carefree or casual attitude."
zh,人间的青草地需要浇水,The green grass of the human world needs watering.,人间的青草地需要浇水,用来委婉地表达某人被背叛或欺骗的情况。,A euphemistic expression for someone being betrayed or deceived.
zh,丫头文学,Literary works by young girls.,丫头的文学作品,指的是一些普通却自信的男人在试图吸引女孩子注意时所表现的言行，通常是在被拒绝后试图将对方的拒绝解释为对自己有意思，从而强行自我感觉良好。,"Behavior of ordinary but confident men who, after being rejected by a girl, interpret the rejection as interest to boost their own ego."
zh,恒河猴,A monkey living in the Ganges River basin.,生活在恒河流域的猴子,原意是指普通的猕猴，但在网络用语中，它指的是那些在童年时期经历了创伤，缺乏爱和陪伴，导致其一生都无法摆脱这些影响的人。,"A person who experienced childhood trauma and lack of love and companionship, resulting in lifelong emotional impact."
zh,嘉禾望岗,"A combined name of two place names, Jiahe and Wanggang.",嘉禾和望岗两个地名的组合名称,作为广州地铁的一个车站，因其承载着人们的离别和相聚的故事而走红网络。它象征着青春的分道扬镳，因为此地不仅连接交通枢纽，还临近许多学校，是学生情侣分别的地方，也成为上班族追梦的起点或终点。,"A Guangzhou metro station symbolizing youthful partings and reunions, often associated with student farewells and the start or end of work commutes."
zh,洛阳铲,An archaeological tool from Luoyang used for excavating tomb sites.,洛阳出土的考古工具，用于挖掘墓葬遗址,在网络论坛中，“洛阳铲”指的是将较后位置的帖子顶到首页或其他用户容易看到的位置。这个表达源于一种考古盗墓用具，也是一句具有侮辱性的方言表达，意为“挖你祖坟”。,"On online forums, the act of bumping older posts to the front page or a visible position."
zh,嘎嘎以嘎斯,Gaga and gas,嘎嘎和嘎斯,意指非常过瘾、很开心的感觉。,An expression indicating a very satisfying and happy feeling.
zh,岚语,Language of the mountain wind sounds,山间的风声语言,指用说英语的方式来说中文，使得普通话带上一种英语发音的独特效果。这是一种娱乐性的语言游戏，不具备实际的语言功能。,"A playful way of speaking Chinese with an English accent, used for entertainment without practical language function."
zh,背后的原因却很暖心,The reason behind it is heartwarming.,背后的原因令人感到温暖,讽刺许多媒体为了吸引读者，喜欢用这种反转的方式来制造噱头。这种标题往往让人觉得背后的原因会是一个有趣或感人的故事，但实际内容可能并不如标题所述。,A sarcastic phrase mocking media headlines that use misleading twists to attract readers by implying a heartwarming reason that the content does not deliver.
zh,炒冷饭,"Reheating leftover rice (figuratively, rehashing old topics).",炒过的冷饭,指的是对过往事件或旧闻进行重新翻炒和炒作，具有一定的攻击性或贬义。,"Referring to the act of rehashing and sensationalizing past events or old news, often with a negative or critical connotation."
zh,精苏,Mental awakening,精神苏醒,指在精神上非常喜欢或认同苏联文化的人。原本它指的是对苏联的政治、经济、军事和文化有强烈兴趣并进行崇拜的人。然而，随着该词的广泛使用，它也逐渐被用来调侃那些对苏联文化有些盲目崇拜的人。,"A person who is mentally enthusiastic about or strongly identifies with Soviet culture, often implying blind admiration."
